STORAGE_TYPE,FILE_NAME,FILE_SIZE_BYTES,FILE_SIZE_MB,FILE_SIZE_GB
ODS,REVIEW,1883450368,1796.2,1.75
ODS,CUSTOMER,65909760,62.86,0.06
ODS,TIPS,44252672,42.2,0.04
ODS,BUSINESS,8452608,8.06,0.01
ODS,CHECKIN,798208,0.76,0
ODS,WEATHER,143872,0.14,0
ODS,DATE,46080,0.04,0
ODS,COVID,2560,0,0
STAGING,Review,2064755200,1969.1,1.92
STAGING,Customer,1985641984,1893.66,1.85
STAGING,Check_in,84402176,80.49,0.08
STAGING,Tips,49098752,46.82,0.05
STAGING,Business,12124672,11.56,0.01
STAGING,Covid,5203968,4.96,0
STAGING,Temperature,84992,0.08,0
STAGING,Precipitation,71680,0.07,0
Stage,yelp_academic_dataset_review.json.gz,2181786192,2080.71,2.03
Stage,yelp_academic_dataset_user.json.gz,1966135264,1875.05,1.83
Stage,yelp_academic_dataset_checkin.json.gz,80199328,76.48,0.07
Stage,yelp_academic_dataset_tip.json.gz,71748912,68.43,0.07
Stage,yelp_academic_dataset_business.json.gz,20340592,19.4,0.02
Stage,yelp_academic_dataset_covid_features.json.gz,6954672,6.63,0.01
Stage,USC00366886-temperature-degreeF.csv,360432,0.34,0
Stage,USC00366886-PHILADELPHIA_FRANKLIN_INSTITUTE-precipitation-inch.csv,258256,0.25,0
